goods_id,goods_image,goods_name,goods_price,id,sales_volume,attr_name,example_img,counter_price,engName,chiName,name,code,sub_name
l5m,https://img.xinxinapp.net/community/imgs/20190906/25c410b6d17d2e16cc74a39ffba46ca1_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #507/Ivy Dark Red,--,oOwZ,36.0,,,,Gucci,古驰,金管唇膏,507,Ivy Dark Red
l5m,https://img.xinxinapp.net/community/imgs/20190906/50e3c39e3bea013e9c05a0eb5c49022e_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #102/Lorna Dune,--,RNeP,36.0,,,,Gucci,古驰,金管唇膏,102,Lorna Dune
l5m,https://img.xinxinapp.net/community/imgs/20190906/a7152ed6d68bae62d4cc763f915be97c_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #106/Tacey Hazel,--,dVOV,36.0,,,,Gucci,古驰,金管唇膏,106,Tacey Hazel
l5m,https://img.xinxinapp.net/community/imgs/20190906/29c09c2f53b177fe959d30a5c0081d87_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #109/Pauline Brown,--,eZOQ,36.0,,,,Gucci,古驰,金管唇膏,109,Pauline Brown
l5m,https://img.xinxinapp.net/community/imgs/20190906/5fe7bcd1d7cfc31170e4de6b1b91806f_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #301/Mae Coral,--,nDom,36.0,,,,Gucci,古驰,金管唇膏,301,Mae Coral
l5m,https://img.xinxinapp.net/community/imgs/20190906/a719034ee7dd310ab4f197cf403f240b_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #401/Three Wise Girls,--,qD0J,36.0,,,,Gucci,古驰,金管唇膏,401,Three Wise Girls
l5m,https://img.xinxinapp.net/community/imgs/20190906/10d96971ed6e77fa3cbcec38bc2bd3f8_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #404/Cassie Magenta,--,3Lpz,36.0,,,,Gucci,古驰,金管唇膏,404,Cassie Magenta
l5m,https://img.xinxinapp.net/community/imgs/20190906/d2e8117b0ddc2a7d55dd90a6573bc8e5_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #600/The Fallen Sparrow,--,wYVJ,36.0,,,,Gucci,古驰,金管唇膏,600,The Fallen Sparrow
l5m,https://img.xinxinapp.net/community/imgs/20190906/b4703a2bb72caa7272cf887f99ca1cbf_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #103/Carol Beige,--,NyeV,36.0,,,,Gucci,古驰,金管唇膏,103,Carol Beige
l5m,https://img.xinxinapp.net/community/imgs/20190906/8190a80664809847c5786ccdcb3d51e5_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #104/Penny Beige,--,Dze5,36.0,,,,Gucci,古驰,金管唇膏,104,Penny Beige
l5m,https://img.xinxinapp.net/community/imgs/20190906/be31100eda9ab238809cf30522de4b2e_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #107/A Royal Scandal,--,Lden,36.0,,,,Gucci,古驰,金管唇膏,107,A Royal Scandal
l5m,https://img.xinxinapp.net/community/imgs/20190906/1e668887d00dbf19dc529dc5e4129570_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #200/Blaze of Noon,--,gDAq,36.0,,,,Gucci,古驰,金管唇膏,200,Blaze of Noon
l5m,https://img.xinxinapp.net/community/imgs/20190906/ff0f8bd805226dd1005ebd639025a1c3_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #204/Peggy Taupe,--,pY8X,36.0,,,,Gucci,古驰,金管唇膏,204,Peggy Taupe
